[2024/10/30 15:55:43] ppsci WARNING: The argument: 'lr_scheduler' now automatically retrieves from 'optimizer._learning_rate' when 'optimizer' is given, so it is recommended to remove it from the Solver's initialization arguments.
[2024/10/30 16:07:44] ppsci WARNING: The argument: 'lr_scheduler' now automatically retrieves from 'optimizer._learning_rate' when 'optimizer' is given, so it is recommended to remove it from the Solver's initialization arguments.
[2024/10/30 16:29:56] ppsci WARNING: The argument: 'lr_scheduler' now automatically retrieves from 'optimizer._learning_rate' when 'optimizer' is given, so it is recommended to remove it from the Solver's initialization arguments.
[2024/10/30 16:32:48] ppsci WARNING: The argument: 'lr_scheduler' now automatically retrieves from 'optimizer._learning_rate' when 'optimizer' is given, so it is recommended to remove it from the Solver's initialization arguments.
[2024/10/30 16:32:48] ppsci MESSAGE: Finish loading pretrained model from: outputs_fourcastnet_pretrain/checkpoints/latest.pdparams
[2024/10/30 16:32:48] ppsci INFO: Using paddlepaddle 2.6.1 on device Place(gpu:0)
[2024/10/30 16:32:48] ppsci INFO: Set to_static=False for computational optimization.
[2024/10/30 16:34:55] ppsci INFO: [Train][Epoch  1/20][Iter  220/4080] lr: 0.00010, loss: 0.09684, Sup: 0.09684, batch_cost: 0.56352s, reader_cost: 0.00023s, ips: 1.77, eta: 12:44:19
[2024/10/30 16:35:00] ppsci INFO: [Train][Epoch  1/20][Iter  230/4080] lr: 0.00010, loss: 0.09624, Sup: 0.09624, batch_cost: 0.56346s, reader_cost: 0.00023s, ips: 1.77, eta: 12:44:08
[2024/10/30 16:35:06] ppsci INFO: [Train][Epoch  1/20][Iter  240/4080] lr: 0.00010, loss: 0.09613, Sup: 0.09613, batch_cost: 0.56340s, reader_cost: 0.00023s, ips: 1.77, eta: 12:43:57
[2024/10/30 16:35:11] ppsci INFO: [Train][Epoch  1/20][Iter  250/4080] lr: 0.00010, loss: 0.09643, Sup: 0.09643, batch_cost: 0.56336s, reader_cost: 0.00023s, ips: 1.78, eta: 12:43:49
[2024/10/30 16:35:17] ppsci INFO: [Train][Epoch  1/20][Iter  260/4080] lr: 0.00010, loss: 0.09602, Sup: 0.09602, batch_cost: 0.56335s, reader_cost: 0.00023s, ips: 1.78, eta: 12:43:42
[2024/10/30 16:35:23] ppsci INFO: [Train][Epoch  1/20][Iter  270/4080] lr: 0.00010, loss: 0.09568, Sup: 0.09568, batch_cost: 0.56340s, reader_cost: 0.00022s, ips: 1.77, eta: 12:43:41
[2024/10/30 16:35:28] ppsci INFO: [Train][Epoch  1/20][Iter  280/4080] lr: 0.00010, loss: 0.09542, Sup: 0.09542, batch_cost: 0.56355s, reader_cost: 0.00023s, ips: 1.77, eta: 12:43:47
[2024/10/30 16:35:34] ppsci INFO: [Train][Epoch  1/20][Iter  290/4080] lr: 0.00010, loss: 0.09551, Sup: 0.09551, batch_cost: 0.56384s, reader_cost: 0.00023s, ips: 1.77, eta: 12:44:05
[2024/10/30 16:35:40] ppsci INFO: [Train][Epoch  1/20][Iter  300/4080] lr: 0.00010, loss: 0.09520, Sup: 0.09520, batch_cost: 0.56397s, reader_cost: 0.00023s, ips: 1.77, eta: 12:44:11
[2024/10/30 16:35:45] ppsci INFO: [Train][Epoch  1/20][Iter  310/4080] lr: 0.00010, loss: 0.09517, Sup: 0.09517, batch_cost: 0.56412s, reader_cost: 0.00023s, ips: 1.77, eta: 12:44:17
[2024/10/30 16:35:51] ppsci INFO: [Train][Epoch  1/20][Iter  320/4080] lr: 0.00010, loss: 0.09490, Sup: 0.09490, batch_cost: 0.56410s, reader_cost: 0.00023s, ips: 1.77, eta: 12:44:09
[2024/10/30 16:35:57] ppsci INFO: [Train][Epoch  1/20][Iter  330/4080] lr: 0.00010, loss: 0.09502, Sup: 0.09502, batch_cost: 0.56408s, reader_cost: 0.00023s, ips: 1.77, eta: 12:44:02
[2024/10/30 16:36:02] ppsci INFO: [Train][Epoch  1/20][Iter  340/4080] lr: 0.00010, loss: 0.09497, Sup: 0.09497, batch_cost: 0.56406s, reader_cost: 0.00023s, ips: 1.77, eta: 12:43:55
[2024/10/30 16:36:08] ppsci INFO: [Train][Epoch  1/20][Iter  350/4080] lr: 0.00010, loss: 0.09522, Sup: 0.09522, batch_cost: 0.56406s, reader_cost: 0.00023s, ips: 1.77, eta: 12:43:50
[2024/10/30 16:36:14] ppsci INFO: [Train][Epoch  1/20][Iter  360/4080] lr: 0.00010, loss: 0.09511, Sup: 0.09511, batch_cost: 0.56407s, reader_cost: 0.00023s, ips: 1.77, eta: 12:43:44
[2024/10/30 16:36:19] ppsci INFO: [Train][Epoch  1/20][Iter  370/4080] lr: 0.00010, loss: 0.09490, Sup: 0.09490, batch_cost: 0.56405s, reader_cost: 0.00023s, ips: 1.77, eta: 12:43:38
[2024/10/30 16:36:25] ppsci INFO: [Train][Epoch  1/20][Iter  380/4080] lr: 0.00010, loss: 0.09497, Sup: 0.09497, batch_cost: 0.56416s, reader_cost: 0.00023s, ips: 1.77, eta: 12:43:40
[2024/10/30 16:36:31] ppsci INFO: [Train][Epoch  1/20][Iter  390/4080] lr: 0.00010, loss: 0.09506, Sup: 0.09506, batch_cost: 0.56428s, reader_cost: 0.00023s, ips: 1.77, eta: 12:43:45
[2024/10/30 16:36:36] ppsci INFO: [Train][Epoch  1/20][Iter  400/4080] lr: 0.00010, loss: 0.09513, Sup: 0.09513, batch_cost: 0.56440s, reader_cost: 0.00022s, ips: 1.77, eta: 12:43:49
